ID,Latitude,Longitude,Neighbors
1,42.09160243516948,-71.26628149240888,"2"
2,42.09184713225238,-71.26637022323584,"1,3"
3,42.09179936287087,-71.26664649076437,"2,4"
4,42.0918949015979,-71.26669208831763,"3,5,18"
5,42.091970536321426,-71.26639436311697,"4,6"
6,42.09219345919238,-71.26618515081381,"5,7"
7,42.092340747088016,-71.26618515081381,"6,8"
8,42.09249599612122,-71.26644532508826,"7,9,19,20"
9,42.092559687922396,-71.26634809501147,"8,10"
10,42.09258406992309,-71.26626427597975,"9,11"
11,42.092617408561935,-71.2662636054275,"10"
12,42.32643937672144,-71.14987648897093,"13"
13,42.3264449357067,-71.14959987138157,"12,14"
14,42.32629521813722,-71.14959316585903,"13,15"
15,42.32629422662897,-71.14952611063366,"14,16"
16,42.3259763414568,-71.14950045890045,"15,17"
17,42.325984875285585,-71.14933439212466,"16"
18,42.092022720003875,-71.2669827196885,"4,19"
19,42.092491114419744,-71.26658608949215,"18,8,20"
20,42.09261849796789,-71.26650025880367,"8,19,21"
21,42.09265728201968,-71.26661047572536,"20,22"
22,42.09264832537779,-71.26665540272636,"21,23"
23,42.09266001877111,-71.266770737714,"22,24,26"
24,42.092574294121185,-71.26685522117869,"23,25"
25,42.092529510840514,-71.26686460891024,"24"
26,42.092709420381546,-71.26671565645141,"23"
